#4 /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/routing/Router.php(118): call_user_func_array(Object(Closure), Array)
#5 /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/public/index.php(87): Orchestra\routing\Router::handle('GET', 'test', 'test', Object(Orchestra\http\Request))
#6 {main}
[2024-12-29 19:07:01 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-29 19:07:01 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-29 19:07:55 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-29 19:07:55 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-29 19:07:55 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: Array
[2024-12-29 19:17:05 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-29 19:17:05 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-29 19:17:05 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: Array
[2024-12-29 19:17:09 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-29 19:17:09 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-29 19:17:09 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: Array
[2024-12-29 19:17:57 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-29 19:17:57 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-29 19:17:57 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: Array
[2024-12-29 19:23:31 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-29 19:23:31 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-29 19:23:31 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: Array
[2024-12-29 19:23:56 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
